City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
201,la passe,45.5549,-0.8967,73.63,60,100,8.81,FR,1718294563
202,sommacampagna,45.4066,10.8437,73.29,49,40,2.3,IT,1718294563
203,flying fish cove,-10.4217,105.6791,78.48,88,100,6.91,CX,1718294563
204,aykhal,66.0,111.5,49.21,92,100,20.15,RU,1718294563
205,boa vista,2.8197,-60.6733,80.58,78,75,4.61,BR,1718294444
206,crane,31.3974,-102.3501,86.05,54,0,14.2,US,1718294563
207,kingston,17.997,-76.7936,87.17,74,20,19.57,JM,1718294415
208,lazaro cardenas,17.9583,-102.2,86.43,57,100,3.27,MX,1718294296
209,kalmunai,7.4167,81.8167,83.97,74,100,3.2,LK,1718294563
210,sinabang,2.4803,96.3801,81.16,80,99,4.16,ID,1718294563
211,ta`u,-14.2336,-169.5144,81.97,81,100,20.11,AS,1718294564
212,college,64.8569,-147.8028,55.08,90,100,4.14,US,1718294564
213,malango,-2.9627,119.9001,67.33,99,100,0.89,ID,1718294564
214,at taj,24.2049,23.2857,101.91,8,0,13.06,LY,1718294564
215,malmberget,67.1753,20.6549,57.76,55,40,11.5,SE,1718294564
216,smithers,54.7804,-127.1743,41.32,81,40,3.44,CA,1718294442
217,kampong pangkal kalong,5.9167,102.2167,83.98,90,83,1.01,MY,1718294564
218,beyneu,45.3167,55.2,87.13,18,74,19.64,KZ,1718294564
219,khanty-mansiysk,61.0042,69.0019,77.11,47,0,0.0,RU,1718294564
220,katsuren-haebaru,26.3369,127.8719,79.09,96,100,10.74,JP,1718294565
221,cidreira,-30.1811,-50.2056,73.85,60,100,7.09,BR,1718294565
222,toamasina,-18.1667,49.3833,75.2,94,20,6.91,MG,1718294565
223,griffith,41.5284,-87.4237,86.95,58,0,20.71,US,1718294565
224,lusambo,-4.9667,23.45,85.84,41,15,2.33,CD,1718294349
225,cockburn town,21.4612,-71.1419,82.02,85,89,13.51,TC,1718294543
226,kalianget,-7.05,113.9333,80.13,81,54,4.9,ID,1718294565
227,tofol,5.3248,163.0078,83.3,72,100,6.26,FM,1718294565
228,newman,37.3138,-121.0208,72.25,66,0,3.0,US,1718294565
229,monteiro,-7.8894,-37.12,90.55,28,97,13.8,BR,1718294566
230,porto franco,-6.3383,-47.3992,95.7,33,15,8.08,BR,1718294471
231,san antonio de pale,-1.4014,5.6325,77.74,85,99,11.48,GQ,1718294480
232,santana,-0.0583,-51.1817,87.98,70,40,6.91,BR,1718294566
233,lagoa santa,-19.6272,-43.8897,78.15,39,0,11.5,BR,1718294448
234,gornopravdinsk,60.05,69.9,71.04,86,40,2.98,RU,1718294566
235,ballina,-28.8667,153.5667,48.78,83,29,10.67,AU,1718294333
236,inyonga,-6.7167,32.0667,71.62,45,0,3.6,TZ,1718294566
237,el dovio,4.5079,-76.2362,73.06,77,92,1.86,CO,1718294566
238,fale old settlement,-9.3852,-171.2468,83.35,75,78,12.95,TK,1718294566
239,glendive,47.1053,-104.7125,71.76,32,0,13.8,US,1718294402
240,jamestown,42.097,-79.2353,81.99,52,0,12.66,US,1718294377
241,saynshand,44.8824,110.1163,65.35,38,28,12.97,MN,1718294567
242,lebu,-37.6167,-73.65,55.4,90,100,20.04,CL,1718294298
243,san francisco,37.7749,-122.4194,65.05,84,40,14.0,US,1718294189
244,hsinchu,24.8036,120.9686,84.88,75,100,4.0,TW,1718294471
245,deoli,25.75,75.3833,97.03,27,80,7.54,IN,1718294567
246,zabol,32.25,67.25,80.8,9,54,11.9,AF,1718294567
247,praia da vitoria,38.7333,-27.0667,79.05,69,40,15.21,PT,1718294567
248,inhambane,-23.865,35.3833,73.38,64,40,3.44,MZ,1718294567
249,constantia,44.1833,28.65,81.7,74,74,15.43,RO,1718294456
250,san andres,12.5847,-81.7006,89.62,70,20,4.61,CO,1718294568
251,naze,28.3667,129.4833,74.32,93,100,3.2,JP,1718294568
252,arkhangel'sk,64.5401,40.5433,73.51,43,40,8.95,RU,1718294568
253,rutland,43.6167,-73.0162,78.26,56,0,4.61,US,1718294486
254,inari,68.906,27.0288,57.96,59,98,6.87,FI,1718294568
255,port lincoln,-34.7333,135.8667,57.06,88,95,10.92,AU,1718294568
256,thinadhoo,0.5333,72.9333,83.86,73,13,7.4,MV,1718294568
